model,val_precision_macro,val_recall_macro,val_f1_macro,val_auc_macro,test_precision_macro,test_recall_macro,test_f1_macro,test_auc_macro
EfficientNetB0,0.9273181803987919,0.9328713042939578,0.9281420368969128,0.9958307989172274,0.9893557422969188,0.9893557422969188,0.9890742935562348,0.9999918073078814
VGG16,0.8788162021921834,0.8808764531453607,0.8758136449877095,0.9782199625339653,0.9863998230871296,0.9867647058823529,0.9861265592785773,0.9999679322967774
DenseNet201,0.8883398930236158,0.8734790497395539,0.8761304131635572,0.9952265394572319,0.9815564311849142,0.9810224089635853,0.9807342933945381,0.9997472126198391
